                                                                                                                                                                           
{'loss': 3.0932, 'grad_norm': 9.619160652160645, 'learning_rate': 2.9324546952224054e-06, 'epoch': 0.0}
{'loss': 2.9527, 'grad_norm': 11.202876091003418, 'learning_rate': 2.9654036243822076e-06, 'epoch': 0.0}
{'loss': 3.3526, 'grad_norm': 16.866228103637695, 'learning_rate': 2.99835255354201e-06, 'epoch': 0.0}
{'loss': 3.1579, 'grad_norm': 11.707021713256836, 'learning_rate': 3.0313014827018123e-06, 'epoch': 0.0}
{'loss': 3.8599, 'grad_norm': 11.550165176391602, 'learning_rate': 3.0642504118616144e-06, 'epoch': 0.0}
{'loss': 2.5978, 'grad_norm': 12.118983268737793, 'learning_rate': 3.097199341021417e-06, 'epoch': 0.0}
{'loss': 2.5246, 'grad_norm': 9.648198127746582, 'learning_rate': 3.130148270181219e-06, 'epoch': 0.0}
{'loss': 2.6852, 'grad_norm': 21.216684341430664, 'learning_rate': 3.1630971993410213e-06, 'epoch': 0.0}
{'loss': 3.0324, 'grad_norm': 7.9700608253479, 'learning_rate': 3.196046128500824e-06, 'epoch': 0.0}
{'loss': 2.4034, 'grad_norm': 11.929393768310547, 'learning_rate': 3.228995057660626e-06, 'epoch': 0.0}
{'loss': 3.1372, 'grad_norm': 9.567855834960938, 'learning_rate': 3.2619439868204282e-06, 'epoch': 0.0}
{'loss': 2.719, 'grad_norm': 22.255064010620117, 'learning_rate': 3.294892915980231e-06, 'epoch': 0.0}
{'loss': 3.0918, 'grad_norm': 25.08211326599121, 'learning_rate': 3.327841845140033e-06, 'epoch': 0.01}
{'loss': 2.8684, 'grad_norm': 8.430937767028809, 'learning_rate': 3.360790774299836e-06, 'epoch': 0.01}
{'loss': 4.1295, 'grad_norm': 40.373931884765625, 'learning_rate': 3.393739703459638e-06, 'epoch': 0.01}
{'loss': 2.8647, 'grad_norm': 17.85378646850586, 'learning_rate': 3.4266886326194403e-06, 'epoch': 0.01}
{'loss': 3.1132, 'grad_norm': 21.792680740356445, 'learning_rate': 3.459637561779243e-06, 'epoch': 0.01}
{'loss': 3.0061, 'grad_norm': 12.756444931030273, 'learning_rate': 3.492586490939045e-06, 'epoch': 0.01}
{'loss': 2.9653, 'grad_norm': 12.531949996948242, 'learning_rate': 3.525535420098847e-06, 'epoch': 0.01}
{'loss': 2.4324, 'grad_norm': 9.693544387817383, 'learning_rate': 3.5584843492586497e-06, 'epoch': 0.01}
{'loss': 2.3379, 'grad_norm': 9.439864158630371, 'learning_rate': 3.591433278418452e-06, 'epoch': 0.01}
{'loss': 2.4322, 'grad_norm': 9.817386627197266, 'learning_rate': 3.624382207578254e-06, 'epoch': 0.01}
{'loss': 3.0535, 'grad_norm': 6.886976718902588, 'learning_rate': 3.6573311367380566e-06, 'epoch': 0.01}
{'loss': 2.2724, 'grad_norm': 9.2505464553833, 'learning_rate': 3.690280065897859e-06, 'epoch': 0.01}
{'loss': 2.6281, 'grad_norm': 21.911808013916016, 'learning_rate': 3.723228995057661e-06, 'epoch': 0.01}
{'loss': 2.4518, 'grad_norm': 27.571306228637695, 'learning_rate': 3.7561779242174635e-06, 'epoch': 0.01}
{'loss': 2.8967, 'grad_norm': 13.051444053649902, 'learning_rate': 3.7891268533772657e-06, 'epoch': 0.01}
{'loss': 2.6934, 'grad_norm': 11.406441688537598, 'learning_rate': 3.822075782537068e-06, 'epoch': 0.01}
{'loss': 2.9928, 'grad_norm': 9.634313583374023, 'learning_rate': 3.85502471169687e-06, 'epoch': 0.01}
{'loss': 3.4198, 'grad_norm': 12.747933387756348, 'learning_rate': 3.887973640856673e-06, 'epoch': 0.01}
{'loss': 2.3276, 'grad_norm': 7.603443145751953, 'learning_rate': 3.920922570016475e-06, 'epoch': 0.01}
{'loss': 3.2113, 'grad_norm': 10.81784725189209, 'learning_rate': 3.953871499176277e-06, 'epoch': 0.01}
{'loss': 3.4007, 'grad_norm': 7.261397361755371, 'learning_rate': 3.9868204283360795e-06, 'epoch': 0.01}
{'loss': 2.7638, 'grad_norm': 9.984148025512695, 'learning_rate': 4.019769357495882e-06, 'epoch': 0.01}
{'loss': 2.8471, 'grad_norm': 12.14406967163086, 'learning_rate': 4.052718286655684e-06, 'epoch': 0.01}
{'loss': 2.6687, 'grad_norm': 15.425959587097168, 'learning_rate': 4.085667215815487e-06, 'epoch': 0.01}
{'loss': 2.9853, 'grad_norm': 10.084235191345215, 'learning_rate': 4.118616144975289e-06, 'epoch': 0.01}
{'loss': 2.6362, 'grad_norm': 17.5516357421875, 'learning_rate': 4.151565074135091e-06, 'epoch': 0.01}
{'loss': 2.8756, 'grad_norm': 8.11235523223877, 'learning_rate': 4.184514003294893e-06, 'epoch': 0.01}
