                                                                                                                                                                           
{'loss': 3.1775, 'grad_norm': 15.06834602355957, 'learning_rate': 1.4839241549876341e-06, 'epoch': 0.0}
{'loss': 2.9745, 'grad_norm': 6.521232604980469, 'learning_rate': 1.5004122011541633e-06, 'epoch': 0.0}
{'loss': 2.5809, 'grad_norm': 7.09523344039917, 'learning_rate': 1.5169002473206926e-06, 'epoch': 0.0}
{'loss': 2.4643, 'grad_norm': 17.697811126708984, 'learning_rate': 1.5333882934872218e-06, 'epoch': 0.0}
{'loss': 2.9794, 'grad_norm': 18.288408279418945, 'learning_rate': 1.549876339653751e-06, 'epoch': 0.0}
{'loss': 2.5504, 'grad_norm': 6.71161413192749, 'learning_rate': 1.5663643858202803e-06, 'epoch': 0.0}
{'loss': 2.5732, 'grad_norm': 11.584134101867676, 'learning_rate': 1.5828524319868097e-06, 'epoch': 0.0}
{'loss': 2.526, 'grad_norm': 15.66235637664795, 'learning_rate': 1.599340478153339e-06, 'epoch': 0.0}
{'loss': 3.3933, 'grad_norm': 7.982295989990234, 'learning_rate': 1.6158285243198682e-06, 'epoch': 0.0}
{'loss': 2.4777, 'grad_norm': 16.96443748474121, 'learning_rate': 1.6323165704863974e-06, 'epoch': 0.0}
{'loss': 2.5275, 'grad_norm': 12.544759750366211, 'learning_rate': 1.6488046166529267e-06, 'epoch': 0.0}
{'loss': 2.6256, 'grad_norm': 21.399511337280273, 'learning_rate': 1.665292662819456e-06, 'epoch': 0.0}
{'loss': 3.3421, 'grad_norm': 15.541345596313477, 'learning_rate': 1.6817807089859854e-06, 'epoch': 0.0}
{'loss': 3.3786, 'grad_norm': 11.450248718261719, 'learning_rate': 1.6982687551525146e-06, 'epoch': 0.0}
{'loss': 2.4947, 'grad_norm': 10.564090728759766, 'learning_rate': 1.7147568013190438e-06, 'epoch': 0.0}
{'loss': 2.4765, 'grad_norm': 42.689422607421875, 'learning_rate': 1.731244847485573e-06, 'epoch': 0.0}
